,match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
132,1,2,Royal Challengers Bangalore,Kolkata Knight Riders,2,2,V Kohli,W Jaffer,I Sharma,0,0,0,0,0,0,0,0,0,,,
133,1,2,Royal Challengers Bangalore,Kolkata Knight Riders,2,3,V Kohli,W Jaffer,I Sharma,0,0,0,4,0,0,0,4,4,,,
134,1,2,Royal Challengers Bangalore,Kolkata Knight Riders,2,4,V Kohli,W Jaffer,I Sharma,0,0,0,0,0,0,1,0,1,,,
137,1,2,Royal Challengers Bangalore,Kolkata Knight Riders,3,1,V Kohli,W Jaffer,AB Dinda,0,0,0,0,0,0,0,0,0,,,
138,1,2,Royal Challengers Bangalore,Kolkata Knight Riders,3,2,V Kohli,W Jaffer,AB Dinda,0,0,0,0,0,0,0,0,0,V Kohli,bowled,
877,4,2,Royal Challengers Bangalore,Mumbai Indians,11,1,V Kohli,JH Kallis,Harbhajan Singh,0,0,0,0,0,0,1,0,1,,,
879,4,2,Royal Challengers Bangalore,Mumbai Indians,11,3,V Kohli,JH Kallis,Harbhajan Singh,0,0,0,0,0,0,0,0,0,,,
880,4,2,Royal Challengers Bangalore,Mumbai Indians,11,4,V Kohli,JH Kallis,Harbhajan Singh,0,0,0,0,0,0,1,0,1,,,
884,4,2,Royal Challengers Bangalore,Mumbai Indians,12,2,V Kohli,JH Kallis,ST Jayasuriya,0,0,0,0,0,0,4,0,4,,,
885,4,2,Royal Challengers Bangalore,Mumbai Indians,12,3,V Kohli,JH Kallis,ST Jayasuriya,0,0,0,0,0,0,1,0,1,,,
887,4,2,Royal Challengers Bangalore,Mumbai Indians,12,5,V Kohli,JH Kallis,ST Jayasuriya,0,0,0,0,0,0,6,0,6,,,
888,4,2,Royal Challengers Bangalore,Mumbai Indians,12,6,V Kohli,JH Kallis,ST Jayasuriya,0,0,0,0,0,0,1,0,1,,,
889,4,2,Royal Challengers Bangalore,Mumbai Indians,13,1,V Kohli,JH Kallis,AM Nayar,0,0,0,0,0,0,0,0,0,,,
890,4,2,Royal Challengers Bangalore,Mumbai Indians,13,2,V Kohli,JH Kallis,AM Nayar,0,0,0,0,0,0,4,0,4,,,
891,4,2,Royal Challengers Bangalore,Mumbai Indians,13,3,V Kohli,JH Kallis,AM Nayar,0,0,0,0,0,0,4,0,4,,,
892,4,2,Royal Challengers Bangalore,Mumbai Indians,13,4,V Kohli,JH Kallis,AM Nayar,0,0,0,0,0,0,0,0,0,,,
893,4,2,Royal Challengers Bangalore,Mumbai Indians,13,5,V Kohli,JH Kallis,AM Nayar,0,0,0,0,0,0,1,0,1,,,
896,4,2,Royal Challengers Bangalore,Mumbai Indians,14,2,V Kohli,JH Kallis,A Nehra,0,1,0,0,0,0,0,1,1,,,
897,4,2,Royal Challengers Bangalore,Mumbai Indians,14,3,V Kohli,JH Kallis,A Nehra,0,0,0,0,0,0,0,0,0,,,
898,4,2,Royal Challengers Bangalore,Mumbai Indians,14,4,V Kohli,JH Kallis,A Nehra,0,0,0,0,0,0,0,0,0,V Kohli,caught,L Ronchi
2417,11,1,Royal Challengers Bangalore,Rajasthan Royals,7,4,V Kohli,LRPL Taylor,SK Trivedi,0,0,0,0,0,0,2,0,2,,,
2418,11,1,Royal Challengers Bangalore,Rajasthan Royals,7,5,V Kohli,LRPL Taylor,SK Trivedi,0,0,0,0,0,0,0,0,0,,,
2419,11,1,Royal Challengers Bangalore,Rajasthan Royals,7,6,V Kohli,LRPL Taylor,SK Trivedi,0,1,0,0,0,0,0,1,1,,,
2420,11,1,Royal Challengers Bangalore,Rajasthan Royals,7,7,V Kohli,LRPL Taylor,SK Trivedi,0,1,0,0,0,0,0,1,1,,,
2421,11,1,Royal Challengers Bangalore,Rajasthan Royals,7,8,V Kohli,LRPL Taylor,SK Trivedi,0,0,0,0,0,0,1,0,1,,,
2422,11,1,Royal Challengers Bangalore,Rajasthan Royals,8,1,V Kohli,LRPL Taylor,MM Patel,0,0,0,0,0,0,1,0,1,,,
2424,11,1,Royal Challengers Bangalore,Rajasthan Royals,8,3,V Kohli,MV Boucher,MM Patel,0,0,0,0,0,0,1,0,1,,,
2426,11,1,Royal Challengers Bangalore,Rajasthan Royals,8,5,V Kohli,MV Boucher,MM Patel,0,0,0,0,0,0,1,0,1,,,
2428,11,1,Royal Challengers Bangalore,Rajasthan Royals,9,1,V Kohli,MV Boucher,SK Trivedi,0,0,0,0,0,0,0,0,0,,,
2429,11,1,Royal Challengers Bangalore,Rajasthan Royals,9,2,V Kohli,MV Boucher,SK Trivedi,0,0,0,0,0,0,1,0,1,,,
2431,11,1,Royal Challengers Bangalore,Rajasthan Royals,9,4,V Kohli,MV Boucher,SK Trivedi,0,0,0,0,0,0,6,0,6,,,
2432,11,1,Royal Challengers Bangalore,Rajasthan Royals,9,5,V Kohli,MV Boucher,SK Trivedi,0,0,0,0,0,0,0,0,0,,,
2433,11,1,Royal Challengers Bangalore,Rajasthan Royals,9,6,V Kohli,MV Boucher,SK Trivedi,0,0,0,0,0,0,0,0,0,,,
2435,11,1,Royal Challengers Bangalore,Rajasthan Royals,10,2,V Kohli,MV Boucher,MM Patel,0,0,0,0,0,0,0,0,0,,,
2436,11,1,Royal Challengers Bangalore,Rajasthan Royals,10,3,V Kohli,MV Boucher,MM Patel,0,0,0,0,0,0,0,0,0,,,
2437,11,1,Royal Challengers Bangalore,Rajasthan Royals,10,4,V Kohli,MV Boucher,MM Patel,0,0,0,0,0,0,0,0,0,V Kohli,caught,M Rawat
3509,15,2,Royal Challengers Bangalore,Chennai Super Kings,16,2,V Kohli,MV Boucher,P Amarnath,0,0,0,0,0,0,1,0,1,,,
3511,15,2,Royal Challengers Bangalore,Chennai Super Kings,16,4,V Kohli,MV Boucher,P Amarnath,0,0,0,0,0,0,2,0,2,,,
3512,15,2,Royal Challengers Bangalore,Chennai Super Kings,16,5,V Kohli,MV Boucher,P Amarnath,0,0,0,0,0,0,0,0,0,,,
3513,15,2,Royal Challengers Bangalore,Chennai Super Kings,16,6,V Kohli,MV Boucher,P Amarnath,0,0,0,0,0,0,4,0,4,,,
3516,15,2,Royal Challengers Bangalore,Chennai Super Kings,17,3,V Kohli,R Dravid,MS Gony,0,0,0,0,0,0,1,0,1,,,
3519,15,2,Royal Challengers Bangalore,Chennai Super Kings,17,6,V Kohli,P Kumar,MS Gony,0,0,0,0,0,0,4,0,4,,,
3521,15,2,Royal Challengers Bangalore,Chennai Super Kings,18,2,V Kohli,P Kumar,JA Morkel,0,0,0,0,0,0,0,0,0,V Kohli,bowled,
4018,17,2,Royal Challengers Bangalore,Delhi Daredevils,20,3,V Kohli,MV Boucher,V Sehwag,0,0,0,0,0,0,1,0,1,,,
4975,21,2,Royal Challengers Bangalore,Deccan Chargers,16,6,V Kohli,CL White,SB Bangar,0,0,0,0,0,0,4,0,4,,,
4979,21,2,Royal Challengers Bangalore,Deccan Chargers,17,4,V Kohli,CL White,DP Vijaykumar,0,0,0,0,0,0,1,0,1,,,
4981,21,2,Royal Challengers Bangalore,Deccan Chargers,17,6,V Kohli,CL White,DP Vijaykumar,0,0,0,1,0,0,0,1,1,,,
4982,21,2,Royal Challengers Bangalore,Deccan Chargers,18,1,V Kohli,CL White,WPUJC Vaas,0,0,0,0,0,0,4,0,4,,,
4983,21,2,Royal Challengers Bangalore,Deccan Chargers,18,2,V Kohli,CL White,WPUJC Vaas,0,0,0,0,0,0,0,0,0,V Kohli,caught,DB Ravi Teja
5695,25,1,Royal Challengers Bangalore,Kings XI Punjab,2,1,V Kohli,JH Kallis,IK Pathan,0,0,0,0,0,0,0,0,0,,,
5696,25,1,Royal Challengers Bangalore,Kings XI Punjab,2,2,V Kohli,JH Kallis,IK Pathan,0,0,0,0,0,0,0,0,0,,,
5697,25,1,Royal Challengers Bangalore,Kings XI Punjab,2,3,V Kohli,JH Kallis,IK Pathan,0,1,0,0,0,0,0,1,1,,,
5698,25,1,Royal Challengers Bangalore,Kings XI Punjab,2,4,V Kohli,JH Kallis,IK Pathan,0,0,0,0,0,0,0,0,0,,,
5699,25,1,Royal Challengers Bangalore,Kings XI Punjab,2,5,V Kohli,JH Kallis,IK Pathan,0,0,0,0,0,0,4,0,4,,,
5700,25,1,Royal Challengers Bangalore,Kings XI Punjab,2,6,V Kohli,JH Kallis,IK Pathan,0,0,0,0,0,0,0,0,0,,,
5701,25,1,Royal Challengers Bangalore,Kings XI Punjab,2,7,V Kohli,JH Kallis,IK Pathan,0,0,0,0,0,0,1,0,1,,,
5702,25,1,Royal Challengers Bangalore,Kings XI Punjab,3,1,V Kohli,JH Kallis,S Sreesanth,0,0,0,0,0,0,0,0,0,,,
5703,25,1,Royal Challengers Bangalore,Kings XI Punjab,3,2,V Kohli,JH Kallis,S Sreesanth,0,0,0,0,0,0,0,0,0,,,
5704,25,1,Royal Challengers Bangalore,Kings XI Punjab,3,3,V Kohli,JH Kallis,S Sreesanth,0,0,0,0,0,0,2,0,2,,,
5705,25,1,Royal Challengers Bangalore,Kings XI Punjab,3,4,V Kohli,JH Kallis,S Sreesanth,0,1,0,0,0,0,0,1,1,,,
5706,25,1,Royal Challengers Bangalore,Kings XI Punjab,3,5,V Kohli,JH Kallis,S Sreesanth,0,0,0,0,0,0,1,0,1,,,
5709,25,1,Royal Challengers Bangalore,Kings XI Punjab,4,1,V Kohli,JH Kallis,IK Pathan,0,0,0,0,0,0,4,0,4,,,
5710,25,1,Royal Challengers Bangalore,Kings XI Punjab,4,2,V Kohli,JH Kallis,IK Pathan,0,0,0,0,0,0,0,0,0,,,
5711,25,1,Royal Challengers Bangalore,Kings XI Punjab,4,3,V Kohli,JH Kallis,IK Pathan,0,0,0,0,0,0,0,0,0,JH Kallis,run out,SE Marsh
5712,25,1,Royal Challengers Bangalore,Kings XI Punjab,4,4,V Kohli,R Dravid,IK Pathan,0,0,0,0,0,0,0,0,0,,,
5713,25,1,Royal Challengers Bangalore,Kings XI Punjab,4,5,V Kohli,R Dravid,IK Pathan,0,0,0,0,0,0,0,0,0,,,
5714,25,1,Royal Challengers Bangalore,Kings XI Punjab,4,6,V Kohli,R Dravid,IK Pathan,0,0,0,0,0,0,0,0,0,,,
5721,25,1,Royal Challengers Bangalore,Kings XI Punjab,6,1,V Kohli,R Dravid,Gagandeep Singh,0,0,0,0,0,0,1,0,1,,,
5727,25,1,Royal Challengers Bangalore,Kings XI Punjab,7,1,V Kohli,R Dravid,VRV Singh,0,1,0,0,0,0,0,1,1,,,
5728,25,1,Royal Challengers Bangalore,Kings XI Punjab,7,2,V Kohli,R Dravid,VRV Singh,0,0,0,0,0,0,0,0,0,,,
5729,25,1,Royal Challengers Bangalore,Kings XI Punjab,7,3,V Kohli,R Dravid,VRV Singh,0,0,0,0,0,0,1,0,1,,,
5734,25,1,Royal Challengers Bangalore,Kings XI Punjab,8,1,V Kohli,R Dravid,Gagandeep Singh,0,0,0,0,0,0,0,0,0,,,
5735,25,1,Royal Challengers Bangalore,Kings XI Punjab,8,2,V Kohli,R Dravid,Gagandeep Singh,0,0,0,0,0,0,1,0,1,,,
5737,25,1,Royal Challengers Bangalore,Kings XI Punjab,8,4,V Kohli,R Dravid,Gagandeep Singh,0,0,0,0,0,0,1,0,1,,,
5739,25,1,Royal Challengers Bangalore,Kings XI Punjab,8,6,V Kohli,R Dravid,Gagandeep Singh,0,0,0,0,0,0,4,0,4,,,
5741,25,1,Royal Challengers Bangalore,Kings XI Punjab,9,2,V Kohli,R Dravid,VRV Singh,0,0,0,0,0,0,0,0,0,,,
5742,25,1,Royal Challengers Bangalore,Kings XI Punjab,9,3,V Kohli,R Dravid,VRV Singh,0,0,0,0,0,0,1,0,1,,,
5747,25,1,Royal Challengers Bangalore,Kings XI Punjab,10,2,V Kohli,R Dravid,PP Chawla,0,0,0,0,0,0,1,0,1,,,
5750,25,1,Royal Challengers Bangalore,Kings XI Punjab,10,5,V Kohli,R Dravid,PP Chawla,0,0,0,0,0,0,1,0,1,,,
5752,25,1,Royal Challengers Bangalore,Kings XI Punjab,11,1,V Kohli,R Dravid,S Sreesanth,0,0,0,0,0,0,4,0,4,,,
5753,25,1,Royal Challengers Bangalore,Kings XI Punjab,11,2,V Kohli,R Dravid,S Sreesanth,0,0,0,0,0,0,1,0,1,,,
5755,25,1,Royal Challengers Bangalore,Kings XI Punjab,11,4,V Kohli,R Dravid,S Sreesanth,0,0,0,0,0,0,0,0,0,,,
5756,25,1,Royal Challengers Bangalore,Kings XI Punjab,11,5,V Kohli,R Dravid,S Sreesanth,0,0,0,0,0,0,0,0,0,,,
5757,25,1,Royal Challengers Bangalore,Kings XI Punjab,11,6,V Kohli,R Dravid,S Sreesanth,0,0,0,0,0,0,1,0,1,,,
5758,25,1,Royal Challengers Bangalore,Kings XI Punjab,12,1,V Kohli,R Dravid,JR Hopes,0,0,0,0,0,0,4,0,4,,,
5759,25,1,Royal Challengers Bangalore,Kings XI Punjab,12,2,V Kohli,R Dravid,JR Hopes,0,0,0,1,0,0,0,1,1,,,
5761,25,1,Royal Challengers Bangalore,Kings XI Punjab,12,4,V Kohli,R Dravid,JR Hopes,0,0,0,0,0,0,1,0,1,,,
5764,25,1,Royal Challengers Bangalore,Kings XI Punjab,13,1,V Kohli,R Dravid,IK Pathan,0,0,0,0,0,0,0,0,0,V Kohli,caught,S Sreesanth
7110,31,1,Royal Challengers Bangalore,Mumbai Indians,13,2,V Kohli,R Dravid,A Nehra,0,0,0,0,0,0,0,0,0,V Kohli,caught,YV Takawale
8003,35,1,Royal Challengers Bangalore,Kings XI Punjab,1,2,V Kohli,J Arunkumar,S Sreesanth,0,0,0,0,0,0,0,0,0,,,
8004,35,1,Royal Challengers Bangalore,Kings XI Punjab,1,3,V Kohli,J Arunkumar,S Sreesanth,0,0,0,0,0,0,0,0,0,,,
8005,35,1,Royal Challengers Bangalore,Kings XI Punjab,1,4,V Kohli,J Arunkumar,S Sreesanth,0,0,0,0,0,0,2,0,2,,,
8006,35,1,Royal Challengers Bangalore,Kings XI Punjab,1,5,V Kohli,J Arunkumar,S Sreesanth,0,0,0,0,0,0,0,0,0,,,
8007,35,1,Royal Challengers Bangalore,Kings XI Punjab,1,6,V Kohli,J Arunkumar,S Sreesanth,0,0,0,0,0,0,0,0,0,,,
8009,35,1,Royal Challengers Bangalore,Kings XI Punjab,2,2,V Kohli,J Arunkumar,IK Pathan,0,0,0,0,0,0,0,0,0,,,
8010,35,1,Royal Challengers Bangalore,Kings XI Punjab,2,3,V Kohli,J Arunkumar,IK Pathan,0,0,0,0,0,0,0,0,0,,,
8011,35,1,Royal Challengers Bangalore,Kings XI Punjab,2,4,V Kohli,J Arunkumar,IK Pathan,0,0,0,0,0,0,0,0,0,,,
8012,35,1,Royal Challengers Bangalore,Kings XI Punjab,2,5,V Kohli,J Arunkumar,IK Pathan,0,0,0,0,0,0,0,0,0,,,
8013,35,1,Royal Challengers Bangalore,Kings XI Punjab,2,6,V Kohli,J Arunkumar,IK Pathan,0,0,0,0,0,0,0,0,0,,,
8016,35,1,Royal Challengers Bangalore,Kings XI Punjab,3,3,V Kohli,Misbah-ul-Haq,S Sreesanth,0,0,0,0,0,0,0,0,0,,,
8017,35,1,Royal Challengers Bangalore,Kings XI Punjab,3,4,V Kohli,Misbah-ul-Haq,S Sreesanth,0,0,0,0,0,0,1,0,1,,,
8020,35,1,Royal Challengers Bangalore,Kings XI Punjab,4,1,V Kohli,Misbah-ul-Haq,IK Pathan,0,0,0,0,0,0,4,0,4,,,
8021,35,1,Royal Challengers Bangalore,Kings XI Punjab,4,2,V Kohli,Misbah-ul-Haq,IK Pathan,0,0,0,0,0,0,4,0,4,,,
8022,35,1,Royal Challengers Bangalore,Kings XI Punjab,4,3,V Kohli,Misbah-ul-Haq,IK Pathan,0,0,0,0,0,0,0,0,0,,,
8023,35,1,Royal Challengers Bangalore,Kings XI Punjab,4,4,V Kohli,Misbah-ul-Haq,IK Pathan,0,0,0,0,0,0,0,0,0,,,
8024,35,1,Royal Challengers Bangalore,Kings XI Punjab,4,5,V Kohli,Misbah-ul-Haq,IK Pathan,0,0,0,0,0,0,1,0,1,,,
8028,35,1,Royal Challengers Bangalore,Kings XI Punjab,5,3,V Kohli,Misbah-ul-Haq,S Sreesanth,0,0,0,0,0,0,0,0,0,,,
8029,35,1,Royal Challengers Bangalore,Kings XI Punjab,5,4,V Kohli,Misbah-ul-Haq,S Sreesanth,0,0,0,0,0,0,1,0,1,,,
8032,35,1,Royal Challengers Bangalore,Kings XI Punjab,6,1,V Kohli,CL White,PP Chawla,0,5,0,0,0,0,0,5,5,,,
8033,35,1,Royal Challengers Bangalore,Kings XI Punjab,6,2,V Kohli,CL White,PP Chawla,0,0,0,0,0,0,4,0,4,,,
8034,35,1,Royal Challengers Bangalore,Kings XI Punjab,6,3,V Kohli,CL White,PP Chawla,0,0,0,0,0,0,4,0,4,,,
8035,35,1,Royal Challengers Bangalore,Kings XI Punjab,6,4,V Kohli,CL White,PP Chawla,0,0,0,0,0,0,0,0,0,V Kohli,bowled,
9563,42,2,Royal Challengers Bangalore,Rajasthan Royals,1,4,V Kohli,Misbah-ul-Haq,Sohail Tanvir,0,0,0,0,0,0,0,0,0,,,
9564,42,2,Royal Challengers Bangalore,Rajasthan Royals,1,5,V Kohli,Misbah-ul-Haq,Sohail Tanvir,0,0,0,0,0,0,0,0,0,,,
9565,42,2,Royal Challengers Bangalore,Rajasthan Royals,1,6,V Kohli,Misbah-ul-Haq,Sohail Tanvir,0,0,0,0,0,0,1,0,1,,,
9566,42,2,Royal Challengers Bangalore,Rajasthan Royals,2,1,V Kohli,Misbah-ul-Haq,MM Patel,0,0,0,0,0,0,1,0,1,,,
9570,42,2,Royal Challengers Bangalore,Rajasthan Royals,2,5,V Kohli,JH Kallis,MM Patel,0,0,0,0,0,0,1,0,1,,,
9572,42,2,Royal Challengers Bangalore,Rajasthan Royals,3,1,V Kohli,JH Kallis,Sohail Tanvir,0,1,0,0,0,0,0,1,1,,,
9573,42,2,Royal Challengers Bangalore,Rajasthan Royals,3,2,V Kohli,JH Kallis,Sohail Tanvir,0,0,0,0,0,0,0,0,0,,,
9574,42,2,Royal Challengers Bangalore,Rajasthan Royals,3,3,V Kohli,JH Kallis,Sohail Tanvir,0,0,0,0,0,0,0,0,0,V Kohli,bowled,
10831,48,1,Royal Challengers Bangalore,Chennai Super Kings,2,5,V Kohli,SP Goswami,MS Gony,0,0,0,0,0,0,0,0,0,,,
10832,48,1,Royal Challengers Bangalore,Chennai Super Kings,2,6,V Kohli,SP Goswami,MS Gony,0,0,0,0,0,0,0,0,0,,,
10839,48,1,Royal Challengers Bangalore,Chennai Super Kings,4,1,V Kohli,SP Goswami,MS Gony,0,0,0,0,0,0,1,0,1,,,
10843,48,1,Royal Challengers Bangalore,Chennai Super Kings,4,5,V Kohli,SP Goswami,MS Gony,0,0,0,0,0,0,1,0,1,,,
10845,48,1,Royal Challengers Bangalore,Chennai Super Kings,5,1,V Kohli,SP Goswami,M Ntini,0,0,0,0,0,0,0,0,0,,,
10846,48,1,Royal Challengers Bangalore,Chennai Super Kings,5,2,V Kohli,SP Goswami,M Ntini,0,0,0,0,0,0,4,0,4,,,
10847,48,1,Royal Challengers Bangalore,Chennai Super Kings,5,3,V Kohli,SP Goswami,M Ntini,0,0,0,0,0,0,0,0,0,,,
10848,48,1,Royal Challengers Bangalore,Chennai Super Kings,5,4,V Kohli,SP Goswami,M Ntini,0,0,0,0,0,0,1,0,1,,,
10850,48,1,Royal Challengers Bangalore,Chennai Super Kings,5,6,V Kohli,SP Goswami,M Ntini,0,0,0,0,0,0,0,0,0,,,
10856,48,1,Royal Challengers Bangalore,Chennai Super Kings,6,6,V Kohli,R Dravid,MS Gony,0,0,0,0,0,0,0,0,0,,,
10860,48,1,Royal Challengers Bangalore,Chennai Super Kings,7,4,V Kohli,R Dravid,M Muralitharan,0,0,0,0,0,0,1,0,1,,,
10863,48,1,Royal Challengers Bangalore,Chennai Super Kings,8,1,V Kohli,R Dravid,MS Gony,0,0,0,1,0,0,0,1,1,,,
10865,48,1,Royal Challengers Bangalore,Chennai Super Kings,8,3,V Kohli,R Dravid,MS Gony,0,1,0,0,0,0,0,1,1,,,
10866,48,1,Royal Challengers Bangalore,Chennai Super Kings,8,4,V Kohli,R Dravid,MS Gony,0,0,0,0,0,0,1,0,1,,,
10868,48,1,Royal Challengers Bangalore,Chennai Super Kings,8,6,V Kohli,R Dravid,MS Gony,0,0,0,0,0,0,0,0,0,,,
10869,48,1,Royal Challengers Bangalore,Chennai Super Kings,8,7,V Kohli,R Dravid,MS Gony,0,0,0,0,0,0,1,0,1,,,
10870,48,1,Royal Challengers Bangalore,Chennai Super Kings,9,1,V Kohli,R Dravid,M Muralitharan,0,0,0,0,0,0,0,0,0,V Kohli,caught,JA Morkel
11827,52,1,Royal Challengers Bangalore,Deccan Chargers,4,4,V Kohli,W Jaffer,RP Singh,0,0,0,0,0,0,0,0,0,,,
11828,52,1,Royal Challengers Bangalore,Deccan Chargers,4,5,V Kohli,W Jaffer,RP Singh,0,1,0,0,0,0,0,1,1,,,
11829,52,1,Royal Challengers Bangalore,Deccan Chargers,4,6,V Kohli,W Jaffer,RP Singh,0,0,0,0,0,0,4,0,4,,,
11830,52,1,Royal Challengers Bangalore,Deccan Chargers,4,7,V Kohli,W Jaffer,RP Singh,0,0,0,0,0,0,0,0,0,,,
11832,52,1,Royal Challengers Bangalore,Deccan Chargers,5,2,V Kohli,W Jaffer,SB Styris,0,1,0,0,0,0,0,1,1,,,
11833,52,1,Royal Challengers Bangalore,Deccan Chargers,5,3,V Kohli,W Jaffer,SB Styris,0,0,0,0,0,0,1,0,1,,,
11836,52,1,Royal Challengers Bangalore,Deccan Chargers,5,6,V Kohli,W Jaffer,SB Styris,0,0,0,0,0,0,1,0,1,,,
11838,52,1,Royal Challengers Bangalore,Deccan Chargers,6,1,V Kohli,W Jaffer,Shahid Afridi,0,0,0,0,0,0,1,0,1,,,
11843,52,1,Royal Challengers Bangalore,Deccan Chargers,6,6,V Kohli,W Jaffer,Shahid Afridi,0,0,0,0,0,0,1,0,1,,,
11844,52,1,Royal Challengers Bangalore,Deccan Chargers,7,1,V Kohli,W Jaffer,SB Styris,0,0,0,0,0,0,1,0,1,,,
11847,52,1,Royal Challengers Bangalore,Deccan Chargers,7,4,V Kohli,W Jaffer,SB Styris,0,0,0,0,0,0,1,0,1,,,
11850,52,1,Royal Challengers Bangalore,Deccan Chargers,8,1,V Kohli,W Jaffer,PP Ojha,0,0,0,0,0,0,1,0,1,,,
11852,52,1,Royal Challengers Bangalore,Deccan Chargers,8,3,V Kohli,W Jaffer,PP Ojha,0,0,0,0,0,0,0,0,0,,,
11853,52,1,Royal Challengers Bangalore,Deccan Chargers,8,4,V Kohli,W Jaffer,PP Ojha,0,0,0,0,0,0,1,0,1,,,
11855,52,1,Royal Challengers Bangalore,Deccan Chargers,8,6,V Kohli,W Jaffer,PP Ojha,0,0,0,0,0,0,2,0,2,,,
11857,52,1,Royal Challengers Bangalore,Deccan Chargers,9,2,V Kohli,W Jaffer,SB Bangar,0,0,0,0,0,0,1,0,1,,,
11859,52,1,Royal Challengers Bangalore,Deccan Chargers,9,4,V Kohli,W Jaffer,SB Bangar,0,0,0,0,0,0,6,0,6,,,
11860,52,1,Royal Challengers Bangalore,Deccan Chargers,9,5,V Kohli,W Jaffer,SB Bangar,0,0,0,0,0,0,1,0,1,,,
11862,52,1,Royal Challengers Bangalore,Deccan Chargers,10,1,V Kohli,W Jaffer,Shahid Afridi,0,0,0,0,0,0,1,0,1,,,
11865,52,1,Royal Challengers Bangalore,Deccan Chargers,10,4,V Kohli,W Jaffer,Shahid Afridi,0,0,0,0,0,0,1,0,1,,,
11867,52,1,Royal Challengers Bangalore,Deccan Chargers,10,6,V Kohli,W Jaffer,Shahid Afridi,0,0,0,0,0,0,1,0,1,,,
11868,52,1,Royal Challengers Bangalore,Deccan Chargers,11,1,V Kohli,W Jaffer,PP Ojha,0,0,0,0,0,0,1,0,1,,,
11870,52,1,Royal Challengers Bangalore,Deccan Chargers,11,3,V Kohli,W Jaffer,PP Ojha,0,0,0,0,0,0,1,0,1,,,
11872,52,1,Royal Challengers Bangalore,Deccan Chargers,11,5,V Kohli,W Jaffer,PP Ojha,0,0,0,0,0,0,1,0,1,,,
11876,52,1,Royal Challengers Bangalore,Deccan Chargers,12,3,V Kohli,JH Kallis,DP Vijaykumar,0,0,0,0,0,0,0,0,0,,,
11877,52,1,Royal Challengers Bangalore,Deccan Chargers,12,4,V Kohli,JH Kallis,DP Vijaykumar,0,0,0,0,0,0,1,0,1,,,
11879,52,1,Royal Challengers Bangalore,Deccan Chargers,12,6,V Kohli,JH Kallis,DP Vijaykumar,0,0,0,0,0,0,1,0,1,,,
11880,52,1,Royal Challengers Bangalore,Deccan Chargers,13,1,V Kohli,JH Kallis,PP Ojha,0,0,0,0,0,0,6,0,6,,,
11881,52,1,Royal Challengers Bangalore,Deccan Chargers,13,2,V Kohli,JH Kallis,PP Ojha,0,0,0,0,0,0,1,0,1,,,
11883,52,1,Royal Challengers Bangalore,Deccan Chargers,13,4,V Kohli,JH Kallis,PP Ojha,0,0,0,0,0,0,1,0,1,,,
11887,52,1,Royal Challengers Bangalore,Deccan Chargers,14,2,V Kohli,Misbah-ul-Haq,RP Singh,0,0,0,0,0,0,0,0,0,V Kohli,caught,SB Bangar
13786,60,1,Royal Challengers Bangalore,Rajasthan Royals,9,6,V Kohli,R Dravid,T Henderson,0,0,0,0,0,0,0,0,0,,,
13788,60,1,Royal Challengers Bangalore,Rajasthan Royals,10,2,V Kohli,R Dravid,Kamran Khan,0,0,0,0,0,0,1,0,1,,,
13790,60,1,Royal Challengers Bangalore,Rajasthan Royals,10,4,V Kohli,R Dravid,Kamran Khan,0,0,0,0,0,0,1,0,1,,,
13792,60,1,Royal Challengers Bangalore,Rajasthan Royals,10,6,V Kohli,R Dravid,Kamran Khan,0,0,0,0,0,0,0,0,0,,,
13797,60,1,Royal Challengers Bangalore,Rajasthan Royals,11,5,V Kohli,R Dravid,T Henderson,0,0,0,0,0,0,1,0,1,,,
13801,60,1,Royal Challengers Bangalore,Rajasthan Royals,12,3,V Kohli,R Dravid,SK Warne,0,0,0,0,0,0,0,0,0,,,
13802,60,1,Royal Challengers Bangalore,Rajasthan Royals,12,4,V Kohli,R Dravid,SK Warne,0,0,0,0,0,0,0,0,0,,,
13803,60,1,Royal Challengers Bangalore,Rajasthan Royals,12,5,V Kohli,R Dravid,SK Warne,0,0,0,0,0,0,0,0,0,V Kohli,bowled,
14435,63,2,Royal Challengers Bangalore,Chennai Super Kings,8,6,V Kohli,R Dravid,M Muralitharan,0,0,0,0,0,0,1,0,1,,,
14436,63,2,Royal Challengers Bangalore,Chennai Super Kings,9,1,V Kohli,R Dravid,A Flintoff,0,0,0,0,0,0,0,0,0,,,
14437,63,2,Royal Challengers Bangalore,Chennai Super Kings,9,2,V Kohli,R Dravid,A Flintoff,0,0,0,0,0,0,0,0,0,,,
14438,63,2,Royal Challengers Bangalore,Chennai Super Kings,9,3,V Kohli,R Dravid,A Flintoff,0,0,0,0,0,0,1,0,1,,,
14441,63,2,Royal Challengers Bangalore,Chennai Super Kings,9,6,V Kohli,R Dravid,A Flintoff,0,0,0,0,0,0,0,0,0,,,
14443,63,2,Royal Challengers Bangalore,Chennai Super Kings,10,2,V Kohli,R Dravid,M Muralitharan,0,0,0,0,0,0,0,0,0,,,
